gender,text
0,10级的我学了个什么！回家弹琴！！~！~！~！~！~！~！~！~！~！~！~！~！~！
0,148人出来吧
0,148人在的答个到
0,2022年还有人看吗
0,2023...
0,2023/2/18
0,2023年还在刷
0,2023来访～～～
0,2023继续打卡
0,22年情商时代发来贺电
0,22年《情商》时代考古哈哈哈哈哈哈
0,22年考古来的 真有情商这歌哦
0,23333
0,23年
0,23年了还有31个
0,300万贺电
0,360度托马斯旋转
0,3.8来重看一遍
0,6
0,666
0,9494、
0,asdfghjkl爱上对方过后就哭了
0,as的復古懷舊看了
0,awm：可遇不可求（原耽狂喜）
0,《AWM绝地求生》（即答
0,bass杀我！
0,BGM：:U. N. オーエンは彼女なのか
0,book能有
0,Bus （巴士）Sun Moon Lake（日月潭）Sorry（对不起）
0,《DLC》
0,Hello
0,hhhhhhh
0,hhhhhhhh
0,kiss  kiss  啵啵～（狗头）
0,kksk
0,kksk！
0,kmdw，ABC。智慧树上智慧果，智慧树下你和我。
0,lkjhgfdsa
0,[ohh]
0,[ohhhh]
0,[OHHHH]
0,[ohhhhh]
0,[ohhhhhh]
0,P[-\
0,silly！
0,snake
0,snake—————————（）
0,Sonic Shadow Silver(索粉即答)
0,up好可爱哈哈哈
0,woc23年回来考8年前的古
0,YYYYYYYYYYYYYYYYYYYYYY
0,zhichuang？
0,一个古筝八级的孩子默默看向了她的古筝
0,一人血书求砍爷粽子番茄一块玩！！！
0,一伯昏
0,一伯昏！
0,《一匹好人》
0,一啵万分
0,一定是琴的问题，和我无关
0,一定要严惩！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
0,一百昏
0,一百昏！
0,一睹芳容
0,丁仪：？
0,《三体》：予时光以生命，予岁月以文明。
0,【三体】我送你颗星星，你却把我送上了星星
0,上幼儿园，上小学一年级，上小学二年级
0,不会有人像我一样2023年还在刷这个视频吧（doge）
0,不刷人数又不够
0,不对，你们到底谁是校霸校草？（）
0,不属于
0,不慌打个游戏当麻药
0,不是这玩意挺咸的呀你们为什么吃
0,《不论何时，这个视频始终有人在线》
0,不过他这个动作指导，一定是中国boy(幻听)
0,两个不是卧底的人相互怀疑
0,两个实数之间还有无限个实数
0,中国boy（即答）
0,【中国通史】：三国江河分裂，九州再起狼烟
0,【中国通史】党争宦奸掌权，君王血染殿前。
0,【中国通史】商城交子银钱，崖山倾国破灭。
0,【中国通史】：始皇六合绝荡，兵俑长城秦鞭
0,【中国通史】词作：艾歌 来源：BV1ns411m7fd
0,【中国通史】：霓裳羽衣蹁跹，安史生变
0,为什么这么长啊我真的笑死离谱
0,主要是心里带来的伤害，可能一辈子也无法磨灭
0,九年了
0,九级？专业九级对吧？
0,买了一箱了，家里孩子很喜欢吃 会考虑回购
0,了空间和割发代首啊
0,互殴
0,亚里士多德也是法治的提出者之一
0,亚里士多德也是法治的最早提出者之一
0,人活着就是为了山田凉！！！！！
0,人类的祖宗，原始猴。
0,什么叫刷
0,《什么手套是一次性的啊？》
0,今夕何年，2023
0,今夕是何年？
0,今天是不是21
0,他甚至把小管管拿走
0,他身上的这个衣服是伍六七耶
0,仙                    人                    指                    路
0,仙人指路
0,众所周知一哥的“没事的”有镇静作用
0,众                       神                       归                         位
0,优雅！实在是太优雅了！！！
0,会，我绝对会的
0,你两个在对视什么
0,你们搁这连连看呢
0,你别说我也这么干过
0,你的操作好奇怪啊，一下牛，一下更牛
0,你这操作真是出神入化
0,你这样说话好机车诶（无端）
0,俄罗斯套娃
0,俗称（吞刀）
0,停      车      场      反      杀      龙      卷      风
0,像你想象的那么勇敢而正直呢
0,光   翼   展   开
0,【光遇】也许遇见即是上上签
0,[光遇]温暖的灵魂终将串线
0,全世界来也没用
0,【全职】心有圣光不减 挥手改写江山
0,其实我大概率是真的不会 我也是女孩子 我也怕自己受伤对不起
0,其实我小时候也干过  真的很好奇  只不过我妈一下就控制住了
0,其实有一个小说叫《AWM绝地求生》
0,再见哈哈哈哈哈
0,冷知识 超市是超级市场的简称
0,凉的那个响指太帅了吧啊啊啊啊啊啊啊啊啊
0,凉真的好会作曲！！！！！
0,凉门
0,凉门！！！
0,✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞✞凉门✞
0,凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门凉门
0,《凹凸世界安莉洁》我是你最忠诚的信徒
0,分子、电子、细菌
0,切切的手臂啊啊啊啊
0,判了，24年！
0,到底是谁因为小狗不更视频刷以前的
0,到我这改了嘿！
0,《刻在DNA里的肌肉记忆》
0,[前方高能]
0,[前方高能][ohh]
0,《前缀的重要性》
0,前面的，古筝之外还有伴奏
0,副总的情商就是高
0,《副总的格局》
0,动物那么可爱为什么要给它们截肢
0,单身 孤独 终老 （既答
0,卧槽 不愧是团队的两个押韵担当！
0,【原神】去见证一切事物的沉淀，在旅途的终点再见吧！
0,【原神】我爱申鹤
0,参见教主
0,又三杀了
0,《 反 主 为 客 》
0,《反客为主》
0,取决于把对方打成重伤时，对方是否还有继续攻击的倾向以及攻击己方的能力。
0,《口红好看》
0,只有他；直接与主对决
0,可以帮忙报警吧
0,可是我朋友不多也砍不了啊
0,可遇不可求（晋江读者即答）
0,史上最漫长的五分钟
0,吃了有担当的亏
0,吃饭时使用更加
0,后面的同学一定哭的很伤心吧
0,吞刀
0,吧
0,哇
0,哇哇哇
0,哇哇哇哇
0,哈哈哈哈
0,哈哈哈哈哈
0,哈哈哈哈哈哈
0,哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈预言家
0,哈哈哈  这个有可爱到我
0,哦哦哦哦哦哦
0,哦耶耶耶
0,啊啊啊这该死的肌肉线条我死了
0,啊啊对方过后就哭了
0,啊是电饭锅好几块
0,啊是的发个回家看了
0,啊水电费刚刚回家快乐
0,啊这
0,喜门！
0,喜门喜门喜门喜门喜门喜门喜门喜门喜门
0,嚯哈哈哈哈哈哈哈哈哈
0,回味经典
0,因为tx贿赂公行所以pdd才没有下架
0,因光而遇
0,国足的希望！
0,在做题和作弊之间选择了作法
0,在有具备实现可控核聚变的条件下就能实现可控核聚变
0,在结局之前；你是唯一正确的人
0,在这里发起护肝运动：1. 看到拼多多砍价行为保证自己不砍
0,《声嘶力竭》
0,复旦之光
0,《多 深》
0,大家可以试试静音遮住台词，我猜的比小潮还离谱
0,天哪，边弹边转调！
0,【天官赐福】一手仗剑，一手执花
